yil;mevsim;Sta_no;konum;enlem_y;boylam_x;sta_name;Derinlik;OPO4_mM;SIO2_mM;NO3NO2n_mM;NH4N_mM;DO;TP_mM;TN_mM;Renk;Seki;pH;yuzer;Karbon_kalintilari_ve_yuzen_maddeler;cozunmus_oksijen_mgL;Intestinal_entrokok_koloni100ml;Fekal_Koliform_koloni100ml;Ay;Tarih
2023;Kýþ;51;Ýç Körfez;3.845.628;2.708.287;51;1;0.76;11.69;1.44;3.38;;1.7;32.84;Yeþil, Mavi;1;8.322;Yok;Yok;8.42;aþýrý üreme;10;1;1.01.2023
2023;Ýlkbahar;51;Ýç Körfez;3.845.628;2.708.287;51;1;0.83;6.26;2.32;2.53;;3.17;25.08;Yeþil;1.3;8.186;Yok;Az Sayýda Yosun;8.05;22;13;4;1.04.2023
2023;Yaz;51;Ýç Körfez;3.845.628;2.708.287;51;1;2.61;2.31;0.34;3.92;;3.19;86.98;;;;;;;;;7;1.07.2023
2023;Sonbahar;51;Ýç Körfez;3.845.628;2.708.287;51;1;3.91;30.1;21.12;29.35;;4.47;69.98;Mavi-Yeþil (Kokulu);;7.69;Yok;Yok;;aþýrý üreme;0;10;1.10.2023
2024;Kýþ;51;Ýç Körfez;3.845.628;2.708.287;51;1;0.58;2.73;0.19;2.11;;1.2;29.81;;;;;;;;;1;1.01.2024
2024;Ýlkbahar;51;Ýç Körfez;3.845.628;2.708.287;51;1;3.32;8.82;0.55;13.95;;4.48;47.64;;;;;;;;;4;1.04.2024
2024;Yaz;51;Ýç Körfez;3.845.628;2.708.287;51;1;3.75;10.33;0.7;0.55;116.59;5.78;77.76;Yeþil;;8.402;Yok;Yok;7.098;;;7;1.07.2024
2024;Sonbahar;51;Ýç Körfez;3.845.628;2.708.287;51;1;1.51;14.54;7.1;8.45;56.69;2.39;46.27;Yeþil (normal);;7.99;Yok;Yok;4.39;;;10;1.10.2024
2025;Kýþ;51;Ýç Körfez;3.845.628;2.708.287;51;1;0.85;4.3;0.54;4.12;;1.37;34.52;;;;;;;;;1;1.01.2025
2025;Ýlkbahar;51;Ýç Körfez;3.845.628;2.708.287;51;1;4.41;13.49;0.1;2.77;;35.8;168.44;;;;;;;;;4;1.04.2025
;;;;;;;;OPO4_mM;SIO2_mM;NO3NO2n_mM;NH4N_mM;;TP_mM;TN_mM;;;;;;;;;;
