Tarih;Mevsim;Donem;Konum;Sta_No;Derinlik_m;Debi_mm;T_c;Tuzluluk_ppt;AKM_mgl;O_PO4_mM;SiO2_mM;NO3NO2N_mM;NH4N_mM;TP_mM;TN_mM
1.01.2023;Kýþ;Ocak;Maviþehir;KN1;1;Veri Yok;18.87;0.29;12;6.74;288.87;66.97;68.11;8.36;154.59
1.02.2023;Kýþ;Þubat;Maviþehir;KN1;1;Veri Yok;8.13;34.61;SAPTANAMADI;2.59;47.09;8.09;18.23;4.46;57.25
1.03.2023;Ýlkbahar;Mart;Maviþehir;KN1;1;Veri Yok;veri yok;veri yok;7;4.56;164.65;32.62;76.17;6.97;165.48
1.04.2023;Ýlkbahar;Nisan;Maviþehir;KN1;1;Veri Yok;17.47;22.24;28;1.94;114.34;5;10.82;3.51;40.68
1.05.2023;Ýlkbahar;Mayýs;Maviþehir;KN1;1;Veri Yok;20.56;33.29;6;2.56;18.93;1.36;4.81;4.82;45.83
1.06.2023;Yaz;Haziran;Maviþehir;KN1;1;Veri Yok;23.61;6.76;18;4.15;79.81;72.18;78.77;5.48;239.14
1.07.2023;Yaz;Temmuz;Maviþehir;KN1;1;Veri Yok;28.67;38.03;17;0.06;58.06;0.52;30.34;24.21;123.61
1.08.2023;Yaz;Aðustos;Maviþehir;KN1;1;Veri Yok;27.21;35.41;6;0.02;26.06;0.82;14.8;16;93.51
1.09.2023;Sonbahar;Eylül;Maviþehir;KN1;1;Veri Yok;26.62;40.38;5;0.12;15.29;0.05;10.52;9.1;65.21
1.10.2023;Sonbahar;Ekim;Maviþehir;KN1;1;Veri Yok;24.29;38.18;13;0.04;35.66;0.6;1.5;10.2;82.6
1.11.2023;Sonbahar;Kasým;Maviþehir;KN1;1;Veri Yok;20.64;34.88;22;0.13;23.73;0.37;2.9;8.93;91.59
1.12.2023;Kýþ;Aralýk;Maviþehir;KN1;1;Veri Yok;16.8;27.52;SAPTANAMADI;0.31;200.38;15.74;110.79;13.41;223.04
1.01.2024;Kýþ;Ocak;Maviþehir;KN1;1;Veri Yok;14.29;30.06;7;1.39;34.05;8.55;21.99;1.94;47.54
1.02.2024;Kýþ;Þubat;Maviþehir;KN1;1;Veri Yok;9.58;26.92;66;1.32;154.24;15.49;4.2;1.78;38.84
1.03.2024;Ýlkbahar;Mart;Maviþehir;KN1;1;Veri Yok;22.54;35.7;21;4.58;69.11;5.93;22.27;5.82;42.23
1.04.2024;Ýlkbahar;Nisan;Maviþehir;KN1;1;Veri Yok;21.4;35.65;SAPTANAMADI;3.28;29.64;3.11;8.72;3.99;24.25
1.05.2024;Ýlkbahar;Mayýs;Maviþehir;KN1;1;Veri Yok;20.7;42.69;SAPTANAMADI;4.97;26.43;2.08;4.61;6.77;29.98
1.06.2024;Yaz;Haziran;Maviþehir;KN1;1;Veri Yok;29.18;38.45;13;7.38;59.1;2.69;4.08;12.48;62.02
