Yýl;Mevsim;Dönem;Konum;Ýstasyon Kodu;Derinlik (m);Debi (mm);Sýcaklýk (°C) ;Tuzluluk;AKM (mg/L);o-PO4 (µM);SiO2 (µM);NO3+NO2-N (µM);NH4-N (µM);TP (µM);TN (µM);Ay;Tarih;AKM (mg/L);Sýcaklýk (°C) ;Tuzluluk (ppt)
2023;Kýþ;Ocak;Manda;KN9;1;Veri Yok;12.94;4.99;SAPTANAMADI;1.28;116.08;59.93;10.75;2.02;119.27;1;1.01.2023;0;12.94;4.99
2023;Kýþ;Þubat;Manda;KN9;1;Veri Yok;10.69;34.04;SAPTANAMADI;1.36;44.97;6.57;20.22;2.27;48.59;2;1.02.2023;0;10.69;34.04
2023;Ýlkbahar;Mart;Manda;KN9;1;Veri Yok;veri yok;veri yok;53;2.82;101.41;68.54;26.02;3.63;138.49;3;1.03.2023;53;;
2023;Ýlkbahar;Nisan;Manda;KN9;1;Veri Yok;15.88;19.58;8;1.49;91.60;43.86;25.52;2.77;111.33;4;1.04.2023;8;15.88;19.58
2023;Ýlkbahar;Mayýs;Manda;KN9;1;Veri Yok;19.61;20.24;10;2.57;40.62;17.09;26.77;4.37;77.18;5;1.05.2023;10;19.61;20.24
2023;Yaz;Haziran;Manda;KN9;1;Veri Yok;23.26;24.10;18;5.19;51.55;19.80;33.70;5.41;111.15;6;1.06.2023;18;23.26;24.1
2023;Yaz;Temmuz;Manda;KN9;1;Veri Yok;27.88;31.88;5;1.51;39.59;7.44;27.25;8.43;77.64;7;1.07.2023;5;27.88;31.88
2023;Yaz;Aðustos;Manda;KN9;1;Veri Yok;27.42;33.45;SAPTANAMADI;0.921483871;46.08;2.31;13.21;4.79;47.36;8;1.08.2023;0;27.42;33.45
2023;Sonbahar;Eylül;Manda;KN9;1;Veri Yok;27.1;38.08;9;1.43;26.43;5.389785714;23.99;5.13;76.51;9;1.09.2023;9;27.1;38.08
2023;Sonbahar;Ekim;Manda;KN9;1;Veri Yok;23.47;25.03;6;3.85;52.75;18.09;0.04;9.79;125.74;10;1.10.2023;6;23.47;25.03
2023;Sonbahar;Kasým;Manda;KN9;1;537357;20.68;38.33;9;4.15;36.31;13.58;26.46;7.35;83.26;11;1.11.2023;9;20.68;38.33
2023;Kýþ;Aralýk;Manda;KN9;1;431583;16.7;37.51;SAPTANAMADI;7.17;83.87;30.89;33.66;7.51;133.93;12;1.12.2023;0;16.7;37.51
2024;Kýþ;Ocak;Manda;KN9;1;Veri Yok;15.1;37.34;SAPTANAMADI;2.39;34.46;9.25;32.59;3.47;71.42;1;1.01.2024;0;15.1;37.34
2024;Kýþ;Þubat;Manda;KN9;1;Veri Yok;17.01;32.31;8;0.93;20.12;16.68;8.92;1.89;26.17;2;1.02.2024;8;17.01;32.31
2024;Ýlkbahar;Mart;Manda;KN9;1;Veri Yok;17.63;36.58;29;1.02;14.76;3.18;4.84;2.25;21.06;3;1.03.2024;29;17.63;36.58
2024;Ýlkbahar;Nisan;Manda;KN9;1;Veri Yok;22.35;37.48;SAPTANAMADI;1.38;11.50;2.57;10.31;1.68;22.66;4;1.04.2024;0;22.35;37.48
2024;Ýlkbahar;Mayýs;Manda;KN9;1;Veri Yok;20.19;42.26;6;3.27;58.62;26.51;23.08;5.36;54.76;5;1.05.2024;6;20.19;42.26
2024;Yaz;Haziran;Manda;KN9;1;Veri Yok;27.39;36.99;18;0.79;21.39;1.92;6.27;2.24;29.04;6;1.06.2024;18;27.39;36.99
